course,cluster,min,max,room
MSWD,1,3,18,G1
PFSD,1,4,16,G1
MSWD,1,19,27,G2
PFSD,1,18,28,G2
MSWD,1,28,35,G3
PFSD,1,30,37,G3
MSWD,1,36,47,SF1
PFSD,1,39,46,SF1
MSWD,1,48,55,SF2
PFSD,1,47,55,SF2
MSWD,1,56,64,SF3
PFSD,1,56,64,SF3
MSWD,1,65,72,TF1
PFSD,1,65,74,TF1
MSWD,1,73,81,TF2
PFSD,1,75,82,TF2
MSWD,1,82,89,TF3
PFSD,1,83,94,TF3
MSWD,1,90,97,FF1
PFSD,1,95,102,FF1
MSWD,1,98,106,FF2
PFSD,1,103,118,FF2
MSWD,1,107,115,FF3
PFSD,1,119,120,FF3
PFSD,2,1,6,FF3
MSWD,1,116,118,C121
MSWD,2,5,16,C121
PFSD,2,7,20,C121
MSWD,2,17,36,C225
PFSD,2,24,40,C225
MSWD,2,37,58,C325
PFSD,2,41,57,C325
MSWD,2,59,75,C425
PFSD,2,58,74,C425
MSWD,3,53,60,C409
PFSD,3,54,61,C409
MSWD,3,61,69,C110
PFSD,3,62,69,C110
MSWD,3,70,77,C210
PFSD,3,70,77,C210
MSWD,3,78,87,C410
PFSD,3,78,86,C410
MSWD,3,88,98,C111
PFSD,3,87,94,C111
MSWD,3,99,111,C211
PFSD,3,95,106,C211
MSWD,3,112,120,C411
PFSD,3,107,118,C411
MSWD,2,76,83,C107
PFSD,2,75,87,C107
MSWD,2,84,96,C207
PFSD,2,88,95,C207
MSWD,2,98,110,C307
PFSD,2,96,105,C307
MSWD,2,111,120,C407
PFSD,2,106,118,C407
MSWD,3,5,5,C407
MSWD,3,6,17,C108
PFSD,2,120,120,C108
PFSD,3,1,14,C108
MSWD,3,18,27,C308
PFSD,3,15,24,C308
MSWD,3,28,36,C408
PFSD,3,25,32,C408
MSWD,3,37,44,C109
PFSD,3,35,45,C109
MSWD,3,45,52,C309
PFSD,3,46,53,C309
